Conflict,Location,Start,End,Type,Outcome
Crazy Snake Rebellion,Oklahoma,1909,1909,Conventional,Victory
Border War,Mexico,1910,1919,Conventional,Victory
Occupation of Nicaragua,Nicaragua,1912,1933,Conventional,Victory
Bluff War,Utah,1914,1915,Conventional,Victory
Occupation of Haiti,Haiti,1915,1934,Conventional,Victory
Occupation of Dominican Republic,Dominican Republic,1916,1924,Conventional,Victory
World War 1,Europe,1917,1918,Conventional,Victory
Russian Civil War,Russia,1918,1920,Conventional,Victory
Bombardment of Samsun,Turkey,1922,1922,Conventional,Victory
World War 2,Europe,1941,1945,Conventional,Victory
Korean War,Korea,1950,1953,Conventional,Victory
Intervention in Lebanon,Lebanon,1958,1958,Conventional,Victory
Bay of Pigs,Cuba,1961,1961,Conventional,Defeat
Dominican Civil War,Dominican Republic,1965,1966,Conventional,Victory
Vietnam War,Vietnam,1965,1973,Conventional,Defeat
Lebanese Civil War,Lebanon,1982,1984,Conventional,Victory
Gulf War,Kuwait,1990,1991,Conventional,Victory
Somalian Civil War,Somalia,1992,1995,Conventional,Victory
Bosnian War,Bosnia,1994,1995,Conventional,Victory
Kosovo,Serbia,1998,1999,Conventional,Victory
War in Afghanistan,Afghanistan,2001,2015,War on Terror,Ongoing
Iraq War,Iraq,2003,2011,War on Terror,Unclear
War in Pakistan,Pakistan,2004,2015,War on Terror,Ongoing
Operation Ocean Shield,Indian Ocean,2009,2015,Conventional,Ongoing
Libyan Civil War,Libya,2011,2011,Conventional,Victory
War on ISIL,Iraq,2014,2015,War on Terror,Ongoing
